Miles between stations,1,2,3,4,5,6,7,8,9,10
1,0,0.3,2.1,1.8,1.1,1.1,1.4,1.2,1.4,1.1
2,0.3,0,1.8,2.1,1.5,0.8,1.1,0.9,1,0.8
3,2.1,1.8,0,3.9,3,1.6,1.7,0.9,0.7,1.3
4,1.8,2.1,3.9,0,2.1,3.1,3.3,3,3.2,2.9
5,1.1,1.5,3,2.1,0,1.8,1.3,2.1,2.3,2.1
6,1.1,0.8,1.6,3.1,1.8,0,0.6,0.8,0.9,0.7
7,1.4,1.1,1.7,3.3,1.3,0.6,0,0.9,1,0.9
8,1.2,0.9,0.9,3,2.1,0.8,0.9,0,0.2,0.7
9,1.4,1,0.7,3.2,2.3,0.9,1,0.2,0,0.8
10,1.1,0.8,1.3,2.9,2.1,0.7,0.9,0.7,0.8,0
