Station Number,Station Name,Number of Docks,Min(s) on Saturday,Avg Starting Docks,Free Docks (Wed),Starting Docks (Wed),Free Docks (Thurs),Starting Docks (Thurs),Free Docks (Fri),Starting Docks (Fri),Starting Docks (Tues),Free Docks (Saturday),Starting Docks (Saturday),Starting Docks (Sunday),,,,,Address,Cross Street,Latitude,Longitude
1,Amherst Town Hall,16,14,9,5,11,5,11,9,7,8,10,6,11,,,,,1 S. Pleasant St.,,42.375548,-72.519507
2,Kendrick Park,16,16,7,8,8,8,8,8,8,6,10,6,6,,,,,274 E. Pleasant St.,,42.380184,-72.519671
3,North Pleasant Street,16,9,9,8,8,4,12,4,12,7,8,8,9,,,,,950 N. Pleasant St.,,42.403663,-72.529301
