Station Number,Station Name,Number of Docks,Min(s),Avg Starting Docks,Free Docks (Wed),Starting Docks (Wed),Free Docks (Thurs),Starting Docks (Thurs),Free Docks (Fri),Starting Docks (Fri),Starting Docks (Tues),Free Docks (Saturday),Starting Docks (Saturday),Starting Docks (Sunday)
1,Amherst Town Hall,12,7,6,6,7,5,11,1,7,10,2,5,7
2,Kendrick Park,12,4,5,7,8,4,12,0,7,10,2,5,8
